2026-04-21 16:30:29 | INFO     | audiobook_gen.pdf_extractor | Abriendo PDF: ElLoboEstepario.pdf
2026-04-21 16:30:29 | INFO     | audiobook_gen.pdf_extractor | PDF abierto — Páginas: 284, Título: (sin título), Autor: Marina Cruz
2026-04-21 16:30:29 | INFO     | audiobook_gen.pdf_extractor | Extracción completada — 284 páginas, 454647 caracteres totales
2026-04-21 16:30:29 | INFO     | audiobook_gen.pipeline | Extraídas 284 páginas
2026-04-21 16:30:29 | INFO     | audiobook_gen.text_cleaner | Iniciando limpieza de 284 páginas
2026-04-21 16:30:29 | INFO     | audiobook_gen.text_cleaner | Líneas repetidas detectadas (cabeceras/pies): 1
2026-04-21 16:30:29 | INFO     | audiobook_gen.text_cleaner | Limpieza completada — 4 capítulos detectados, 441246 caracteres
2026-04-21 16:30:29 | INFO     | audiobook_gen.text_normalizer | Reglas cargadas — 30 abreviaturas, 20 símbolos, 16 siglas, 9 patrones
2026-04-21 16:30:30 | INFO     | audiobook_gen.pipeline | Texto normalizado: 319256 caracteres
2026-04-21 16:30:30 | INFO     | audiobook_gen.text_segmenter | Segmentación completada — 831 chunks, promedio 381 chars
2026-04-21 16:30:30 | INFO     | audiobook_gen.pipeline | Texto segmentado en 831 chunks
2026-04-21 16:30:32 | INFO     | audiobook_gen.tts_engine | Motor TTS: Edge-TTS (voces neuronales Microsoft)
2026-04-21 16:30:32 | INFO     | audiobook_gen.pipeline | Motor TTS: es-ES-AlvaroNeural (España - Hombre (Álvaro))
2026-04-21 17:23:33 | INFO     | audiobook_gen.audio_assembler | Ensamblando 831 fragmentos de audio...
2026-04-21 17:23:33 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00000.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:33 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00001.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:33 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00002.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:33 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00003.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:33 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00004.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:33 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00005.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:33 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00006.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:33 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00007.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:33 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00008.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:33 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00009.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:33 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00010.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:33 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00011.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:33 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00012.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:33 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00013.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:33 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00014.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:33 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00015.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:33 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00016.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:33 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00017.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:33 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00018.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:33 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00019.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:33 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00020.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:33 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00021.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:33 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00022.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:33 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00023.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:34 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00024.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:34 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00025.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:34 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00026.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:34 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00027.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:34 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00028.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:34 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00029.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:34 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00030.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:34 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00031.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:34 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00032.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:34 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00033.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:34 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00034.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:34 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00035.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:34 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00036.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:34 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00037.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:34 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00038.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:34 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00039.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:34 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00040.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:34 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00041.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:34 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00042.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:34 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00043.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:34 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00044.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:34 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00045.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:34 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00046.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:34 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00047.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:34 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00048.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:34 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00049.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:34 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00050.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:34 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00051.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:34 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00052.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:34 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00053.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:34 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00054.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:35 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00055.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:35 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00056.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:35 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00057.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:35 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00058.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:35 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00059.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:35 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00060.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:35 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00061.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:35 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00062.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:35 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00063.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:35 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00064.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:35 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00065.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:35 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00066.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:35 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00067.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:35 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00068.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:35 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00069.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:35 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00070.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:35 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00071.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:35 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00072.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:35 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00073.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:35 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00074.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:35 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00075.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:35 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00076.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:35 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00077.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:35 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00078.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:35 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00079.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:35 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00080.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:35 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00081.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:35 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00082.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:35 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00083.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:35 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00084.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:35 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00085.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:35 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00086.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:35 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00087.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:36 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00088.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:36 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00089.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:36 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00090.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:36 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00091.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:36 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00092.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:36 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00093.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:36 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00094.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:36 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00095.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:36 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00096.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:36 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00097.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:36 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00098.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:36 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00099.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:36 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00100.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:36 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00101.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:36 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00102.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:36 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00103.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:36 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00104.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
2026-04-21 17:23:36 | ERROR    | audiobook_gen.audio_assembler | Error cargando fragmento C:\Users\EM2024~1\AppData\Local\Temp\audiobook_gen\chunk_00105.mp3: [WinError 2] El sistema no puede encontrar el archivo especificado
